"#","From","To (Interval: 24H)","Jabalpur, Govindh Bhavan Colony  PM10 (µg/m3)","Jabalpur, Govindh Bhavan Colony  PM2.5 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NO (µg/m3)","Jabalpur, Govindh Bhavan Colony  NO2 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NOX (ppb)","Jabalpur, Govindh Bhavan Colony  CO (mg/m3)","Jabalpur, Govindh Bhavan Colony  SO2 (µg/m3)","Jabalpur, Govindh Bhavan Colony  NH3 (µg/m3)","Jabalpur, Govindh Bhavan Colony  Ozone (µg/m3)","Jabalpur, Govindh Bhavan Colony  Benzene (µg/m3)"
"219","2025-08-07 00:00:00","2025-08-08 00:00:00","33.33","16.54","2.60","28.69","17.27","0.84","33.99","7.96","11.34","0.17"
"220","2025-08-08 00:00:00","2025-08-09 00:00:00","34.42","17.28","2.61","29.80","17.97","0.65","22.55","7.95","5.97","0.26"
"221","2025-08-09 00:00:00","2025-08-10 00:00:00","27.88","12.22","2.62","29.77","17.97","0.61","22.27","7.96","6.88","0.19"
"222","2025-08-10 00:00:00","2025-08-11 00:00:00","27.92","12.36","2.58","29.70","17.90","0.59","21.29","7.92","7.68","0.21"
"223","2025-08-11 00:00:00","2025-08-12 00:00:00","22.42","10.50","2.59","29.81","17.96","0.57","21.25","7.97","8.00","0.21"
"224","2025-08-12 00:00:00","2025-08-13 00:00:00","29.38","13.48","2.60","29.77","17.95","0.74","21.62","7.95","8.51","0.27"
"225","2025-08-13 00:00:00","2025-08-14 00:00:00","27.72","12.24","2.60","29.66","17.89","0.50","21.84","7.93","5.90","0.35"
"226","2025-08-14 00:00:00","2025-08-15 00:00:00","25.23","10.60","2.57","29.65","17.87","0.65","19.87","7.94","6.17","0.41"
"227","2025-08-15 00:00:00","2025-08-16 00:00:00","29.11","13.27","2.53","29.53","17.77","0.59","21.66","7.90","7.60","0.36"
"228","2025-08-16 00:00:00","2025-08-17 00:00:00","20.40","7.02","2.62","29.65","17.91","0.74","21.07","7.96","8.62","0.34"
"229","2025-08-17 00:00:00","2025-08-18 00:00:00","22.09","8.39","2.67","29.94","18.10","0.62","21.49","7.94","6.23","0.55"
"230","2025-08-18 00:00:00","2025-08-19 00:00:00","21.02","7.10","2.64","29.43","17.80","0.61","21.47","7.93","8.66","0.35"
"231","2025-08-19 00:00:00","2025-08-20 00:00:00","21.29","9.07","2.50","28.98","17.45","0.55","20.43","7.98","18.55","0.24"
"232","2025-08-20 00:00:00","2025-08-21 00:00:00","23.60","10.23","2.51","28.57","17.15","0.63","21.84","8.13","11.18","0.24"
"233","2025-08-21 00:00:00","2025-08-22 00:00:00","19.64","11.01","2.49","29.04","17.48","0.61","22.42","8.20","16.07","0.18"
"234","2025-08-22 00:00:00","2025-08-23 00:00:00","18.31","9.18","2.49","28.93","17.40","0.66","22.22","8.09","14.27","0.15"
"235","2025-08-23 00:00:00","2025-08-24 00:00:00","19.21","10.36","2.49","29.13","17.53","0.63","23.36","8.20","32.35","0.19"
"236","2025-08-24 00:00:00","2025-08-25 00:00:00","18.66","9.95","3.94","32.31","20.39","0.63","40.12","8.18","31.97","0.15"
"237","2025-08-25 00:00:00","2025-08-26 00:00:00","22.93","10.37","2.50","29.03","17.47","0.66","21.55","8.21","30.15","0.19"
"238","2025-08-26 00:00:00","2025-08-27 00:00:00","24.97","11.54","2.50","28.90","17.41","0.71","21.40","8.28","28.83","0.33"
"239","2025-08-27 00:00:00","2025-08-28 00:00:00","32.74","15.77","2.50","28.97","17.45","0.73","21.16","8.26","25.83","0.42"
"240","2025-08-28 00:00:00","2025-08-29 00:00:00","34.99","16.56","2.49","28.92","17.41","0.62","22.03","8.13","35.40","0.28"
"241","2025-08-29 00:00:00","2025-08-30 00:00:00","31.11","17.71","2.48","28.79","17.34","0.60","61.84","2.67","37.18","0.28"
"242","2025-08-30 00:00:00","2025-08-31 00:00:00","32.97","17.70","2.47","28.77","17.30","0.52","22.59","3.22","34.92","0.27"
"243","2025-08-31 00:00:00","2025-09-01 00:00:00","41.92","21.14","2.49","28.89","17.39","0.65","21.15","4.81","13.46","0.19"
"244","2025-09-01 00:00:00","2025-09-02 00:00:00","24.76","12.33","2.49","28.91","17.40","0.66","20.95","4.07","19.89","0.24"
"245","2025-09-02 00:00:00","2025-09-03 00:00:00","32.71","15.10","2.60","28.92","17.47","0.67","23.63","4.62","17.03","0.23"
"246","2025-09-03 00:00:00","2025-09-04 00:00:00","25.53","13.63","2.53","29.00","17.48","0.69","38.89","4.22","15.72","0.27"
"247","2025-09-04 00:00:00","2025-09-05 00:00:00","26.12","14.33","2.49","28.90","17.40","0.56","48.94","5.23","14.48","0.28"
"248","2025-09-05 00:00:00","2025-09-06 00:00:00","30.13","17.18","2.52","28.98","17.46","0.61","21.20","3.01","19.47","0.20"
"249","2025-09-06 00:00:00","2025-09-07 00:00:00","38.51","19.36","2.51","29.10","17.52","0.49","21.11","3.92","18.74","0.23"
"250","2025-09-07 00:00:00","2025-09-08 00:00:00","25.51","12.47","2.51","28.92","17.42","0.63","21.19","4.48","16.35","0.20"
"251","2025-09-08 00:00:00","2025-09-09 00:00:00","26.23","12.58","2.51","28.94","17.44","0.63","21.20","5.56","15.66","0.24"
"252","2025-09-09 00:00:00","2025-09-10 00:00:00","30.07","13.73","2.55","29.08","17.53","0.55","21.20","6.44","6.55","0.43"
"253","2025-09-10 00:00:00","2025-09-11 00:00:00","55.15","22.31","2.54","29.13","17.56","0.41","21.15","6.30","9.02","0.64"
"254","2025-09-11 00:00:00","2025-09-12 00:00:00","54.23","22.01","2.47","28.76","17.29","0.55","21.19","6.12","22.92","0.21"
"255","2025-09-12 00:00:00","2025-09-13 00:00:00","41.55","17.18","2.50","28.89","17.39","0.56","21.17","6.11","18.33","0.19"
"256","2025-09-13 00:00:00","2025-09-14 00:00:00","47.96","22.79","2.48","28.79","17.33","0.56","21.27","5.74","21.28","0.23"
"257","2025-09-14 00:00:00","2025-09-15 00:00:00","48.41","23.71","2.47","28.57","17.18","0.52","21.00","5.35","14.66","0.28"
"258","2025-09-15 00:00:00","2025-09-16 00:00:00","46.69","22.49","2.49","29.06","17.48","0.59","21.19","4.26","16.99","0.37"
"259","2025-09-16 00:00:00","2025-09-17 00:00:00","34.10","16.28","2.50","28.90","17.40","0.78","21.15","4.53","27.97","0.23"
"260","2025-09-17 00:00:00","2025-09-18 00:00:00","33.99","16.13","2.47","28.85","17.35","0.58","21.20","5.00","42.55","0.24"
"261","2025-09-18 00:00:00","2025-09-19 00:00:00","40.40","19.62","2.46","28.95","17.40","0.62","21.11","4.88","33.66","0.37"
"262","2025-09-19 00:00:00","2025-09-20 00:00:00","50.70","25.41","2.49","29.08","17.49","0.43","21.13","5.40","33.46","0.42"
"263","2025-09-20 00:00:00","2025-09-21 00:00:00","42.90","19.26","2.48","29.05","17.47","0.43","21.18","5.68","40.82","0.36"
"264","2025-09-21 00:00:00","2025-09-22 00:00:00","51.90","21.96","2.45","28.73","17.27","0.50","21.03","5.64","40.38","0.35"
"265","2025-09-22 00:00:00","2025-09-23 00:00:00","62.85","25.21","2.49","28.83","17.35","0.52","21.20","5.20","45.86","0.29"
"266","2025-09-23 00:00:00","2025-09-24 00:00:00","66.10","27.13","2.49","29.04","17.48","0.55","21.20","6.13","41.67","0.40"
"267","2025-09-24 00:00:00","2025-09-25 00:00:00","68.89","27.64","2.44","28.80","17.31","0.67","21.08","6.21","58.63","0.35"
"268","2025-09-25 00:00:00","2025-09-26 00:00:00","52.09","26.74","2.48","28.84","17.35","0.35","21.20","6.21","57.88","0.32"
"269","2025-09-26 00:00:00","2025-09-27 00:00:00","39.59","21.59","2.49","28.92","17.40","0.40","21.20","5.99","40.65","0.35"
"270","2025-09-27 00:00:00","2025-09-28 00:00:00","29.26","16.52","2.49","29.09","17.50","0.51","21.08","6.18","28.98","0.19"
"271","2025-09-28 00:00:00","2025-09-29 00:00:00","23.48","11.80","2.48","24.85","15.23","0.52","20.45","6.49","20.49","0.15"
"272","2025-09-29 00:00:00","2025-09-30 00:00:00","26.30","13.42","2.47","15.42","10.21","0.40","17.72","6.50","16.43","0.18"
"273","2025-09-30 00:00:00","2025-10-01 00:00:00","30.07","15.26","2.46","15.49","10.23","0.56","14.46","6.38","21.82","0.16"
"274","2025-10-01 00:00:00","2025-10-02 00:00:00","29.35","13.72","2.48","15.64","10.34","0.60","8.93","6.32","24.64","0.22"
"275","2025-10-02 00:00:00","2025-10-03 00:00:00","25.79","12.31","2.45","15.55","10.26","0.63","8.86","6.21","31.20","0.20"
"276","2025-10-03 00:00:00","2025-10-04 00:00:00","36.15","19.76","2.47","15.66","10.32","0.40","8.78","6.38","23.09","0.28"
"277","2025-10-04 00:00:00","2025-10-05 00:00:00","22.99","10.17","2.48","15.63","10.32","0.60","8.87","6.21","20.88","0.21"
"278","2025-10-05 00:00:00","2025-10-06 00:00:00","45.04","24.48","2.46","15.68","10.34","0.94","8.61","5.74","31.95","0.30"
"279","2025-10-06 00:00:00","2025-10-07 00:00:00","40.16","20.49","2.44","15.59","10.28","0.99","11.20","5.76","24.04","0.30"
"280","2025-10-07 00:00:00","2025-10-08 00:00:00","52.47","26.84","2.46","15.59","10.29","1.09","13.29","5.81","18.20","0.45"
"281","2025-10-08 00:00:00","2025-10-09 00:00:00","55.77","26.67","2.49","15.76","10.40","0.94","13.89","6.11","30.88","0.40"
"282","2025-10-09 00:00:00","2025-10-10 00:00:00","87.66","35.61","2.47","15.65","10.32","0.84","13.46","5.89","27.24","0.25"
"283","2025-10-10 00:00:00","2025-10-11 00:00:00","126.27","45.59","2.53","14.78","9.91","0.82","13.21","5.77","31.21","0.25"
"284","2025-10-11 00:00:00","2025-10-12 00:00:00","100.24","41.05","3.02","11.52","8.61","0.99","12.17","5.44","27.96","0.28"
"285","2025-10-12 00:00:00","2025-10-13 00:00:00","71.44","33.30","2.85","10.80","8.13","0.99","11.91","5.13","38.63","0.26"
"286","2025-10-13 00:00:00","2025-10-14 00:00:00","72.37","33.73","2.89","11.53","8.40","1.06","12.32","5.33","33.95","0.29"
"287","2025-10-14 00:00:00","2025-10-15 00:00:00","97.65","55.06","2.98","12.01","8.81","0.94","12.16","5.25","41.50","0.31"
"288","2025-10-15 00:00:00","2025-10-16 00:00:00","102.81","60.94","4.94","12.84","10.79","0.96","12.18","5.26","29.68","0.26"
"289","2025-10-16 00:00:00","2025-10-17 00:00:00","100.32","59.99","11.25","16.21","17.77","0.93","13.80","6.06","6.45","0.25"
"290","2025-10-17 00:00:00","2025-10-18 00:00:00","82.99","47.61","10.16","15.95","16.66","0.79","13.42","5.87","15.10","0.41"
"291","2025-10-18 00:00:00","2025-10-19 00:00:00","76.14","42.60","10.32","16.46","17.04","0.79","11.40","4.88","9.00","0.49"
"292","2025-10-19 00:00:00","2025-10-20 00:00:00","76.72","43.88","8.32","15.62","15.07","0.68","11.57","4.96","9.67","0.37"
"293","2025-10-20 00:00:00","2025-10-21 00:00:00","94.09","57.70","7.34","15.64","14.28","0.70","11.38","4.87","13.35","0.34"
"294","2025-10-21 00:00:00","2025-10-22 00:00:00","72.13","45.47","6.53","13.21","12.33","0.72","8.45","3.42","10.71","0.38"
"295","2025-10-22 00:00:00","2025-10-23 00:00:00","54.90","35.01","6.98","13.28","12.74","0.69","9.76","4.06","8.22","0.34"
"296","2025-10-23 00:00:00","2025-10-24 00:00:00","65.92","39.20","5.86","13.79","12.10","0.71","10.24","4.30","8.71","0.32"
"297","2025-10-24 00:00:00","2025-10-25 00:00:00","93.41","58.23","6.24","12.90","11.74","0.78","9.76","4.07","9.66","0.34"
"298","2025-10-25 00:00:00","2025-10-26 00:00:00","98.32","62.64","6.71","12.98","12.35","0.84","8.92","3.66","8.17","0.44"
"299","2025-10-26 00:00:00","2025-10-27 00:00:00","35.96","21.70","9.24","13.29","14.58","0.70","8.89","3.63","5.16","0.34"
"300","2025-10-27 00:00:00","2025-10-28 00:00:00","45.85","26.91","8.87","13.44","14.36","0.77","9.09","3.73","8.84","0.33"
"301","2025-10-28 00:00:00","2025-10-29 00:00:00","54.37","32.83","8.57","13.60","14.09","0.86","7.39","2.97","9.02","0.39"
"302","2025-10-29 00:00:00","2025-10-30 00:00:00","37.88","22.76","6.90","14.43","13.28","0.72","8.84","3.61","12.60","0.32"
"303","2025-10-30 00:00:00","2025-10-31 00:00:00","15.64","7.39","7.95","12.36","13.08","0.71","10.52","4.44","7.93","0.29"
"304","2025-10-31 00:00:00","2025-11-01 00:00:00","13.94","6.91","8.81","12.53","13.73","0.95","10.07","4.22","8.18","0.34"
"305","2025-11-01 00:00:00","2025-11-02 00:00:00","30.35","15.73","14.52","11.76","17.97","0.75","9.01","3.89","7.32","0.38"
"306","2025-11-02 00:00:00","2025-11-03 00:00:00","36.09","19.27","12.19","12.72","16.38","0.88","9.39","3.88","7.61","0.33"
"307","2025-11-03 00:00:00","2025-11-04 00:00:00","49.60","26.29","8.21","13.08","13.63","0.66","11.35","4.85","33.52","0.33"
"308","2025-11-04 00:00:00","2025-11-05 00:00:00","45.77","23.48","5.97","12.39","11.45","0.74","12.47","5.41","26.01","0.23"
"309","2025-11-05 00:00:00","2025-11-06 00:00:00","69.33","35.15","9.09","13.20","14.41","0.77","11.25","4.81","37.42","0.36"
"310","2025-11-06 00:00:00","2025-11-07 00:00:00","81.13","40.41","9.96","14.22","15.66","0.81","11.19","4.78","22.86","0.45"
"311","2025-11-07 00:00:00","2025-11-08 00:00:00","82.73","41.56","8.73","16.08","15.48","0.81","12.30","5.32","28.83","0.98"
"312","2025-11-08 00:00:00","2025-11-09 00:00:00","98.24","55.81","8.17","17.51","15.96","0.85","13.66","5.99","41.69","0.95"
"313","2025-11-09 00:00:00","2025-11-10 00:00:00","98.17","56.10","8.05","17.98","16.12","0.84","14.33","6.32","31.31","NA"
"314","2025-11-10 00:00:00","2025-11-11 00:00:00","108.52","62.66","8.35","17.99","16.18","0.90","13.70","6.37","30.48","0.48"
"315","2025-11-11 00:00:00","2025-11-12 00:00:00","113.56","67.43","7.99","18.13","15.98","0.89","12.80","6.43","31.98","0.54"
"316","2025-11-12 00:00:00","2025-11-13 00:00:00","116.67","69.22","8.24","18.31","16.20","0.94","12.62","6.40","32.41","0.59"
"317","2025-11-13 00:00:00","2025-11-14 00:00:00","106.17","65.32","7.40","18.15","15.67","0.93","12.56","6.29","35.35","0.63"
"318","2025-11-14 00:00:00","2025-11-15 00:00:00","85.67","51.81","7.41","18.67","15.85","0.93","11.95","5.99","40.09","0.60"
"319","2025-11-15 00:00:00","2025-11-16 00:00:00","91.47","55.40","7.17","18.51","15.68","0.90","12.25","6.09","53.28","0.69"
"320","2025-11-16 00:00:00","2025-11-17 00:00:00","108.24","68.91","7.26","18.99","15.99","1.02","12.44","6.22","32.78","0.89"
"321","2025-11-17 00:00:00","2025-11-18 00:00:00","113.13","72.96","7.33","19.04","16.09","1.10","12.07","5.99","38.45","1.02"
"322","2025-11-18 00:00:00","2025-11-19 00:00:00","130.51","86.63","7.21","18.87","15.91","1.12","12.01","5.97","34.05","1.05"
"323","2025-11-19 00:00:00","2025-11-20 00:00:00","123.27","80.82","7.13","18.84","15.82","1.08","12.02","5.96","32.85","1.04"
"324","2025-11-20 00:00:00","2025-11-21 00:00:00","126.71","84.51","6.77","19.07","15.64","1.10","11.63","5.74","51.57","0.92"
"325","2025-11-21 00:00:00","2025-11-22 00:00:00","124.89","81.18","6.85","18.51","15.42","1.12","11.11","5.43","42.44","0.96"
"326","2025-11-22 00:00:00","2025-11-23 00:00:00","120.73","79.55","6.87","17.28","14.78","1.05","11.26","5.51","32.76","0.96"
"327","2025-11-23 00:00:00","2025-11-24 00:00:00","100.16","66.57","6.59","16.53","14.16","0.97","11.61","5.73","29.14","0.77"
"328","2025-11-24 00:00:00","2025-11-25 00:00:00","90.39","57.91","5.91","16.60","13.64","0.98","11.28","5.53","36.71","0.63"
"329","2025-11-25 00:00:00","2025-11-26 00:00:00","91.32","58.19","5.46","17.27","13.62","0.97","11.40","5.60","33.37","0.62"
"330","2025-11-26 00:00:00","2025-11-27 00:00:00","74.99","46.21","5.00","17.69","13.47","0.90","11.78","5.83","35.79","0.58"
"331","2025-11-27 00:00:00","2025-11-28 00:00:00","68.29","41.73","5.88","17.39","13.80","0.94","12.05","5.99","38.73","0.64"
"332","2025-11-28 00:00:00","2025-11-29 00:00:00","89.09","55.64","4.66","13.07","10.70","0.98","12.47","6.24","37.34","0.76"
"333","2025-11-29 00:00:00","2025-11-30 00:00:00","88.62","59.04","3.52","8.75","7.51","1.01","12.40","6.19","27.49","0.85"
"334","2025-11-30 00:00:00","2025-12-01 00:00:00","53.88","41.37","3.56","8.48","7.41","0.94","12.37","6.18","29.55","0.68"
"335","2025-12-01 00:00:00","2025-12-02 00:00:00","59.36","35.66","3.52","8.66","7.42","0.87","11.47","5.65","26.73","0.61"
"336","2025-12-02 00:00:00","2025-12-03 00:00:00","58.02","34.08","5.17","9.92","9.49","0.87","11.64","5.75","23.92","0.60"
"337","2025-12-03 00:00:00","2025-12-04 00:00:00","41.90","24.00","3.39","8.10","7.03","0.78","11.31","5.54","24.97","0.44"
"338","2025-12-04 00:00:00","2025-12-05 00:00:00","56.19","33.01","3.60","9.78","8.04","0.84","10.77","5.37","39.02","0.53"
"339","2025-12-05 00:00:00","2025-12-06 00:00:00","63.35","35.76","4.92","15.90","12.35","0.97","11.70","5.76","9.81","0.56"
"340","2025-12-06 00:00:00","2025-12-07 00:00:00","64.99","38.13","4.41","15.52","11.86","0.88","12.24","6.10","20.48","0.67"
"341","2025-12-07 00:00:00","2025-12-08 00:00:00","81.36","49.05","4.46","15.56","11.93","0.98","12.23","6.09","23.54","0.91"
"342","2025-12-08 00:00:00","2025-12-09 00:00:00","59.23","33.14","4.57","15.70","12.07","0.71","12.14","6.04","23.52","0.79"
"343","2025-12-09 00:00:00","2025-12-10 00:00:00","47.17","24.63","4.76","15.82","12.29","0.80","11.85","5.87","23.49","0.59"
"344","2025-12-10 00:00:00","2025-12-11 00:00:00","42.92","22.95","4.63","15.72","12.13","0.79","11.52","5.97","23.62","0.62"
"345","2025-12-11 00:00:00","2025-12-12 00:00:00","42.56","22.36","4.81","15.90","12.37","0.80","11.73","5.79","23.51","0.52"
"346","2025-12-12 00:00:00","2025-12-13 00:00:00","46.98","24.08","4.92","15.95","12.48","0.81","11.71","5.79","23.48","0.55"
"347","2025-12-13 00:00:00","2025-12-14 00:00:00","47.31","25.04","5.02","15.99","12.59","0.81","11.46","5.64","23.49","0.56"
"348","2025-12-14 00:00:00","2025-12-15 00:00:00","80.21","47.33","5.13","16.10","12.74","0.98","11.32","5.56","23.50","0.89"
"349","2025-12-15 00:00:00","2025-12-16 00:00:00","116.95","74.52","5.40","16.30","13.07","1.12","11.04","5.40","23.55","1.19"
"350","2025-12-16 00:00:00","2025-12-17 00:00:00","89.67","56.96","5.35","16.25","12.99","1.10","11.24","5.51","23.57","1.18"
"351","2025-12-17 00:00:00","2025-12-18 00:00:00","58.35","34.22","5.11","16.09","12.71","0.91","11.55","5.69","23.53","1.07"
"352","2025-12-18 00:00:00","2025-12-19 00:00:00","40.08","21.55","5.15","16.11","12.76","0.85","11.36","5.58","23.59","0.75"
"353","2025-12-19 00:00:00","2025-12-20 00:00:00","69.25","42.29","5.77","16.55","13.49","1.08","10.67","5.17","23.54","1.31"
"354","2025-12-20 00:00:00","2025-12-21 00:00:00","54.35","32.92","4.79","14.52","11.63","0.96","10.81","5.25","23.59","1.23"
"355","2025-12-21 00:00:00","2025-12-22 00:00:00","43.57","24.15","3.61","9.22","7.84","0.87","11.24","5.51","23.53","0.72"
"356","2025-12-22 00:00:00","2025-12-23 00:00:00","80.52","49.53","4.69","13.31","10.89","1.14","10.35","4.97","20.87","1.32"
"357","2025-12-23 00:00:00","2025-12-24 00:00:00","57.91","35.56","6.27","16.16","13.68","1.05","8.21","4.80","19.61","1.27"
"358","2025-12-24 00:00:00","2025-12-25 00:00:00","38.13","21.65","5.94","14.76","12.67","0.86","8.89","4.91","19.59","0.76"
"359","2025-12-25 00:00:00","2025-12-26 00:00:00","39.99","22.23","5.84","15.71","13.10","0.84","9.79","5.22","19.64","0.78"
"360","2025-12-26 00:00:00","2025-12-27 00:00:00","41.52","23.35","5.50","15.48","12.71","0.87","9.76","5.42","19.55","0.70"
"361","2025-12-27 00:00:00","2025-12-28 00:00:00","38.86","21.34","6.08","15.66","13.27","0.84","8.78","5.19","19.61","0.65"
"362","2025-12-28 00:00:00","2025-12-29 00:00:00","44.64","24.95","5.95","15.82","13.25","0.83","11.02","4.61","19.69","0.65"
"363","2025-12-29 00:00:00","2025-12-30 00:00:00","43.81","24.67","5.52","15.80","12.89","0.83","9.31","5.47","19.47","0.76"
"364","2025-12-30 00:00:00","2025-12-31 00:00:00","36.34","18.14","5.46","15.67","12.77","0.82","8.27","5.73","19.64","0.59"
"365","2025-12-31 00:00:00","2026-01-01 00:00:00","40.24","21.99","5.63","15.43","12.79","0.84","8.86","5.47","19.64","0.62"
"366","Min","","11.26","5.92","2.44","8.10","7.03","0.20","2.21","2.67","3.61","0.15"
"367","Max","","132.54","86.63","15.38","41.22","30.11","1.34","85.36","28.67","93.10","2.37"
"368","Avg.","","52.5","24.82","6.78","24.97","18.67","0.71","15.87","8.46","32.91","0.66"
