"#","From","To (Interval: 24H)","Jabalpur, Gupteshwar  PM10 (µg/m3)","Jabalpur, Gupteshwar  PM2.5 (µg/m3)","Jabalpur, Gupteshwar  NO (µg/m3)","Jabalpur, Gupteshwar  NO2 (µg/m3)","Jabalpur, Gupteshwar  NOX (ppb)","Jabalpur, Gupteshwar  CO (mg/m3)","Jabalpur, Gupteshwar  SO2 (µg/m3)","Jabalpur, Gupteshwar  NH3 (µg/m3)","Jabalpur, Gupteshwar  Ozone (µg/m3)","Jabalpur, Gupteshwar  Benzene (µg/m3)"
"301","2025-11-15 00:00:00","2025-11-16 00:00:00","149.50","62.89","13.48","45.05","34.80","1.76","5.96","37.22","37.86","0.81"
"302","2025-11-16 00:00:00","2025-11-17 00:00:00","154.23","70.74","7.24","42.60","28.35","1.77","6.08","43.47","37.44","0.87"
"303","2025-11-17 00:00:00","2025-11-18 00:00:00","157.39","74.16","11.23","41.07","30.75","1.85","5.89","47.23","35.19","0.78"
"304","2025-11-18 00:00:00","2025-11-19 00:00:00","173.79","63.42","11.52","46.92","34.33","2.02","5.99","50.94","34.51","0.83"
"305","2025-11-19 00:00:00","2025-11-20 00:00:00","191.35","103.37","9.91","46.21","32.37","2.07","6.09","56.51","39.19","0.87"
"306","2025-11-20 00:00:00","2025-11-21 00:00:00","196.98","96.43","11.34","50.33","35.80","2.22","6.27","59.61","36.62","0.97"
"307","2025-11-21 00:00:00","2025-11-22 00:00:00","153.12","75.67","3.88","25.61","16.77","1.44","6.20","55.35","49.16","0.93"
"308","2025-11-22 00:00:00","2025-11-23 00:00:00","155.19","74.37","23.65","55.54","48.77","2.53","6.28","47.92","49.35","0.97"
"309","2025-11-23 00:00:00","2025-11-24 00:00:00","130.67","66.42","6.21","36.95","24.45","1.72","6.48","45.95","37.01","1.08"
"310","2025-11-24 00:00:00","2025-11-25 00:00:00","125.48","63.73","6.19","38.32","25.24","1.72","6.63","46.17","41.07","1.15"
"311","2025-11-25 00:00:00","2025-11-26 00:00:00","128.14","63.80","6.05","37.43","24.47","1.65","6.47","47.15","45.26","1.07"
"312","2025-11-26 00:00:00","2025-11-27 00:00:00","101.58","47.70","4.27","33.45","21.12","1.47","6.19","38.84","48.10","0.93"
"313","2025-11-27 00:00:00","2025-11-28 00:00:00","104.01","46.66","4.82","30.44","19.95","1.38","6.01","38.39","41.29","0.83"
"314","2025-11-28 00:00:00","2025-11-29 00:00:00","137.46","65.81","10.60","40.75","30.08","1.86","6.17","44.50","39.34","0.92"
"315","2025-11-29 00:00:00","2025-11-30 00:00:00","151.33","75.43","10.16","39.34","29.10","1.84","6.33","46.29","36.61","0.99"
"316","2025-11-30 00:00:00","2025-12-01 00:00:00","116.38","56.01","13.73","36.47","30.20","1.71","6.31","40.99","29.74","0.99"
"317","2025-12-01 00:00:00","2025-12-02 00:00:00","108.05","48.70","16.16","40.82","34.28","1.86","6.36","39.90","29.24","1.01"
"318","2025-12-02 00:00:00","2025-12-03 00:00:00","92.84","41.53","9.03","34.24","25.55","1.42","6.08","38.99","29.75","0.88"
"319","2025-12-03 00:00:00","2025-12-04 00:00:00","77.96","32.16","10.34","30.78","24.68","1.37","6.24","29.03","29.63","0.95"
"320","2025-12-04 00:00:00","2025-12-05 00:00:00","91.69","38.27","9.93","33.64","25.69","1.49","6.27","33.42","35.84","0.96"
"321","2025-12-05 00:00:00","2025-12-06 00:00:00","114.78","48.92","11.51","43.78","32.43","1.94","6.44","35.54","50.09","1.05"
"322","2025-12-06 00:00:00","2025-12-07 00:00:00","122.51","55.08","16.99","41.89","35.91","2.06","5.88","38.67","17.34","0.77"
"323","2025-12-07 00:00:00","2025-12-08 00:00:00","117.74","54.93","13.35","36.94","30.50","1.79","6.23","41.79","36.71","0.95"
"324","2025-12-08 00:00:00","2025-12-09 00:00:00","88.11","36.78","17.61","30.83","29.77","1.57","6.47","34.01","28.11","1.07"
"325","2025-12-09 00:00:00","2025-12-10 00:00:00","78.02","29.49","20.73","30.58","32.94","1.57","6.38","29.77","30.65","1.02"
"326","2025-12-10 00:00:00","2025-12-11 00:00:00","81.30","26.07","16.65","47.05","38.57","1.79","6.75","32.48","43.66","1.22"
"327","2025-12-11 00:00:00","2025-12-12 00:00:00","83.48","27.39","22.25","42.56","39.93","2.01","6.93","31.32","39.35","1.30"
"328","2025-12-12 00:00:00","2025-12-13 00:00:00","87.47","33.44","21.05","34.98","35.29","1.82","6.09","31.32","21.50","0.88"
"329","2025-12-13 00:00:00","2025-12-14 00:00:00","83.43","31.79","15.29","35.49","31.18","1.58","6.36","32.21","32.49","1.01"
"330","2025-12-14 00:00:00","2025-12-15 00:00:00","119.85","56.58","7.65","35.53","24.90","1.76","6.22","46.32","34.58","0.94"
"331","2025-12-15 00:00:00","2025-12-16 00:00:00","158.14","79.92","16.91","40.17","34.83","2.18","6.06","57.03","19.49","0.86"
"332","2025-12-16 00:00:00","2025-12-17 00:00:00","126.23","63.57","14.41","36.99","31.27","1.99","6.05","47.66","22.75","0.86"
"333","2025-12-17 00:00:00","2025-12-18 00:00:00","79.57","36.94","14.53","35.21","30.41","1.67","6.10","36.58","24.06","0.88"
"334","2025-12-18 00:00:00","2025-12-19 00:00:00","61.78","25.34","12.83","28.72","25.71","1.35","6.17","31.18","25.39","0.91"
"335","2025-12-19 00:00:00","2025-12-20 00:00:00","85.70","41.41","11.08","31.10","25.35","1.61","7.65","27.34","23.12","0.72"
"336","2025-12-20 00:00:00","2025-12-21 00:00:00","90.05","43.86","19.45","34.92","34.22","2.10","13.22","9.03","23.98","0.92"
"337","2025-12-21 00:00:00","2025-12-22 00:00:00","84.02","39.59","8.67","31.26","23.45","1.59","11.24","8.91","27.73","0.96"
"338","2025-12-22 00:00:00","2025-12-23 00:00:00","106.80","55.26","11.56","33.58","27.05","1.80","12.64","8.82","18.62","0.97"
"339","2025-12-23 00:00:00","2025-12-24 00:00:00","91.16","42.90","14.10","31.92","28.44","1.85","12.93","8.94","15.50","1.07"
"340","2025-12-24 00:00:00","2025-12-25 00:00:00","66.97","27.94","12.20","29.11","25.40","1.43","12.96","9.12","15.94","1.10"
"341","2025-12-25 00:00:00","2025-12-26 00:00:00","74.48","32.14","13.19","30.91","27.05","1.58","12.63","9.08","17.73","1.09"
"342","2025-12-26 00:00:00","2025-12-27 00:00:00","77.66","33.93","15.72","34.36","30.35","1.77","12.85","9.34","16.74","1.07"
"343","2025-12-27 00:00:00","2025-12-28 00:00:00","83.11","37.86","16.54","32.57","30.48","1.71","12.24","9.21","20.29","0.88"
"344","2025-12-28 00:00:00","2025-12-29 00:00:00","88.29","42.84","16.02","33.05","30.19","1.90","12.10","8.99","20.49","0.85"
"345","2025-12-29 00:00:00","2025-12-30 00:00:00","90.95","43.67","16.69","35.49","32.01","2.00","12.12","8.63","17.37","0.91"
"346","2025-12-30 00:00:00","2025-12-31 00:00:00","71.14","29.68","13.13","33.33","28.17","1.55","11.93","8.28","16.68","0.96"
"347","2025-12-31 00:00:00","2026-01-01 00:00:00","69.64","28.90","12.78","35.13","28.75","1.56","13.11","8.03","21.41","0.97"
"348","Min","","8.50","5.50","1.08","8.00","5.26","0.32","2.70","6.57","6.09","0.41"
"349","Max","","237.70","196.36","23.65","58.59","48.77","2.53","20.15","59.61","84.68","14.57"
"350","Avg.","","69.05","36.22","6.34","27.56","19.66","1.05","8.98","16.08","40.2","1.8"
