"#","From","To (Interval: 24H)","Jabalpur, Marhatal  PM10 (µg/m3)","Jabalpur, Marhatal  PM2.5 (µg/m3)","Jabalpur, Marhatal  NO (µg/m3)","Jabalpur, Marhatal  NO2 (µg/m3)","Jabalpur, Marhatal  NOX (ppb)","Jabalpur, Marhatal  CO (mg/m3)","Jabalpur, Marhatal  SO2 (µg/m3)","Jabalpur, Marhatal  NH3 (µg/m3)","Jabalpur, Marhatal  Ozone (µg/m3)","Jabalpur, Marhatal  Benzene (µg/m3)"
"333","2025-12-04 00:00:00","2025-12-05 00:00:00","126.25","65.02","3.57","17.27","12.09","1.13","25.35","7.96","68.75","NA"
"334","2025-12-05 00:00:00","2025-12-06 00:00:00","146.86","74.43","6.20","22.61","17.06","1.47","24.85","7.18","93.19","NA"
"335","2025-12-06 00:00:00","2025-12-07 00:00:00","188.36","102.98","21.78","21.21","31.93","1.00","22.11","6.74","63.36","NA"
"336","2025-12-07 00:00:00","2025-12-08 00:00:00","179.59","99.70","24.33","22.02","31.53","1.18","23.76","6.87","63.58","NA"
"337","2025-12-08 00:00:00","2025-12-09 00:00:00","171.13","86.73","39.29","18.92","42.05","0.93","26.08","6.59","61.88","NA"
"338","2025-12-09 00:00:00","2025-12-10 00:00:00","144.79","71.39","33.17","17.11","36.08","0.96","27.60","6.58","62.64","NA"
"339","2025-12-10 00:00:00","2025-12-11 00:00:00","132.35","67.48","21.36","20.31","28.17","0.90","20.24","9.97","62.23","NA"
"340","2025-12-11 00:00:00","2025-12-12 00:00:00","124.39","62.77","20.77","23.03","29.17","0.99","13.79","5.70","82.82","NA"
"341","2025-12-12 00:00:00","2025-12-13 00:00:00","113.28","71.39","30.23","24.53","37.63","3.03","15.84","5.59","47.87","NA"
"342","2025-12-13 00:00:00","2025-12-14 00:00:00","126.66","67.01","20.37","22.93","28.81","0.81","15.82","5.77","51.01","NA"
"343","2025-12-14 00:00:00","2025-12-15 00:00:00","150.49","92.61","9.30","24.06","20.36","1.27","13.52","6.70","58.70","NA"
"344","2025-12-15 00:00:00","2025-12-16 00:00:00","222.63","141.56","22.37","28.05","33.11","1.08","14.87","6.56","59.91","NA"
"345","2025-12-16 00:00:00","2025-12-17 00:00:00","183.30","116.38","27.04","27.03","36.35","1.69","9.90","6.72","48.22","NA"
"346","2025-12-17 00:00:00","2025-12-18 00:00:00","145.39","86.09","34.53","24.57","41.19","0.94","13.53","6.27","46.62","NA"
"347","2025-12-18 00:00:00","2025-12-19 00:00:00","95.03","49.95","21.57","21.51","28.98","1.35","13.41","6.39","40.92","NA"
"348","2025-12-19 00:00:00","2025-12-20 00:00:00","138.79","93.02","17.88","21.84","26.15","1.10","11.80","6.73","35.52","NA"
"349","2025-12-20 00:00:00","2025-12-21 00:00:00","120.67","87.23","21.94","21.25","29.18","1.10","13.83","6.54","39.59","NA"
"350","2025-12-21 00:00:00","2025-12-22 00:00:00","92.49","59.02","5.49","18.27","14.18","1.12","15.09","6.42","48.81","NA"
"351","2025-12-22 00:00:00","2025-12-23 00:00:00","152.65","99.55","19.20","22.21","27.48","1.33","14.02","6.96","39.64","NA"
"352","2025-12-23 00:00:00","2025-12-24 00:00:00","160.52","101.19","29.98","21.90","36.06","1.04","13.84","6.87","56.91","NA"
"353","2025-12-24 00:00:00","2025-12-25 00:00:00","94.81","81.11","13.66","19.27","21.34","1.06","13.09","6.17","53.30","NA"
"354","2025-12-25 00:00:00","2025-12-26 00:00:00","104.69","65.01","11.11","19.89","19.65","1.38","13.95","6.54","40.84","NA"
"355","2025-12-26 00:00:00","2025-12-27 00:00:00","95.70","49.57","9.23","18.03","17.12","0.94","14.02","6.64","65.49","NA"
"356","2025-12-27 00:00:00","2025-12-28 00:00:00","99.10","53.36","9.69","18.11","17.57","1.36","13.82","6.25","82.96","NA"
"357","2025-12-28 00:00:00","2025-12-29 00:00:00","129.32","74.06","16.00","20.38","23.90","1.56","15.78","6.25","83.09","NA"
"358","2025-12-29 00:00:00","2025-12-30 00:00:00","109.49","61.48","7.50","19.80","16.67","1.36","14.26","5.97","39.15","NA"
"359","2025-12-30 00:00:00","2025-12-31 00:00:00","91.39","46.23","8.88","19.31","17.53","1.69","16.60","5.23","46.08","NA"
"360","2025-12-31 00:00:00","2026-01-01 00:00:00","101.43","47.13","21.73","20.76","28.70","1.59","15.02","5.35","67.58","NA"
"361","Min","","6.43","5.00","0.88","5.20","4.62","0.29","2.84","3.60","6.12","0"
"362","Max","","259.37","157.28","44.63","102.40","77.48","3.56","34.25","40.47","104.07","0"
"363","Avg.","","94.22","40.16","8.32","29.86","22.61","1.13","13.23","12.38","38.99","0"
